DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,HIG,2,#N/A,80,70.45,52850,0.04%,52940.37067,1.511,1.0,2.4,1.0,1.0,80,56.9,0.062,0.0,80.0,0.026,0.0,25.8,0.026,,23.1,0.026,NOT NEEDED HERE,,,1
W1JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,HIG,6,#N/A,50,51.08,8104,0.02%,8111.195484,6.164,2.0,1.2,2.1,0.5,50,35.6,0.251,50.0,50.0,0.209,50.0,16.1,0.429,,14.4,0.104,NOT NEEDED HERE,,,6
W2JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,HIG,6,#N/A,30,23.29,2793,0.03%,2796.798211,10.727,2.0,1.2,2.1,0.5,30,21.4,0.437,30.0,30.0,0.364,30.0,9.7,0.746,,8.6,0.182,NOT NEEDED HERE,,,6
W3JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,HIG,6,#N/A,20,14.51,992.5,0.05%,994.5287891,20.110,2.0,1.2,2.1,0.5,20,14.2,0.820,20.0,20.0,0.682,20.0,6.4,1.399,,5.8,0.341,NOT NEEDED HERE,,,6
W4JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,HIG,6,#N/A,10,10.08,544.3,0.09%,546.363536,18.303,2.0,1.2,2.1,0.5,10,7.1,0.746,10.0,10.0,0.620,10.0,3.2,1.274,,2.9,0.310,NOT NEEDED HERE,,,6
WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8,SUS,2,#N/A,70,28.08,1292,0.04%,1293.987269,54.259,1.0,1.4,1.0,1.0,20,50.0,1.288,0.0,70.2,0.920,0.0,22.6,0.920,,20.2,0.920,NOT NEEDED HERE,"For WJets samples with HT<400 GeV, if possible, can we increase the number of events by a factor of 2.5, compared to what was produced in earlier campaigns (Summer16, Fall17, Autumn18)? ",,1
WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8,SUS,2,#N/A,71,28.37,1395,0.06%,1398.092756,50.731,1.0,1.6,1.0,1.0,30,50.5,1.371,0.0,70.9,0.860,0.0,22.8,0.860,,20.4,0.860,NOT NEEDED HERE,,,1
WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8,SUS,2,#N/A,64,25.47,407.9,0.10%,409.51091,155.484,1.0,1.4,1.0,1.0,20,45.3,3.798,0.0,63.7,2.635,0.0,20.5,2.635,,18.3,2.635,NOT NEEDED HERE,,,1
WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8,SUS,2,#N/A,8,5.93,57.48,0.12%,57.74901679,138.530,1.0,2.4,1.0,1.0,8,5.7,5.646,0.0,8.0,2.348,0.0,2.6,2.348,,2.3,2.348,NOT NEEDED HERE,,,1
WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8,SUS,2,#N/A,8,19.77,12.87,0.19%,12.96596042,617.000,1.0,2.4,1.0,1.0,8,5.7,25.148,0.0,8.0,10.458,0.0,2.6,10.458,,2.3,10.458,NOT NEEDED HERE,,,1
WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8,SUS,2,#N/A,8,8.40,5366,0.26%,5422.708016,1.475,1.0,2.4,1.0,1.0,8,5.7,0.060,0.0,8.0,0.025,0.0,2.6,0.025,,2.3,0.025,NOT NEEDED HERE,,,1
